Category: All categories

Week,Apple: (United States)
2017-01-01,53
2017-01-08,49
2017-01-15,46
2017-01-22,45
2017-01-29,46
2017-02-05,44
2017-02-12,45
2017-02-19,46
2017-02-26,42
2017-03-05,43
2017-03-12,42
2017-03-19,48
2017-03-26,46
2017-04-02,44
2017-04-09,43
2017-04-16,43
2017-04-23,43
2017-04-30,46
2017-05-07,46
2017-05-14,47
2017-05-21,44
2017-05-28,45
2017-06-04,57
2017-06-11,49
2017-06-18,49
2017-06-25,47
2017-07-02,46
2017-07-09,48
2017-07-16,47
2017-07-23,49
2017-07-30,51
2017-08-06,51
2017-08-13,49
2017-08-20,49
2017-08-27,49
2017-09-03,46
2017-09-10,100
2017-09-17,66
2017-09-24,62
2017-10-01,55
2017-10-08,53
2017-10-15,53
2017-10-22,58
2017-10-29,58
2017-11-05,62
2017-11-12,60
2017-11-19,82
2017-11-26,70
2017-12-03,64
2017-12-10,64
2017-12-17,74
2017-12-24,96
2017-12-31,67
2018-01-07,58
2018-01-14,56
2018-01-21,57
2018-01-28,54
2018-02-04,53
2018-02-11,52
2018-02-18,51
2018-02-25,51
