Category: All categories

Day,Apple: (United States)
2020-02-29,86
2020-03-01,85
2020-03-02,84
2020-03-03,92
2020-03-04,83
2020-03-05,80
2020-03-06,83
2020-03-07,86
2020-03-08,79
2020-03-09,85
2020-03-10,78
2020-03-11,75
2020-03-12,75
2020-03-13,77
2020-03-14,95
2020-03-15,83
2020-03-16,82
2020-03-17,77
2020-03-18,89
2020-03-19,85
2020-03-20,78
2020-03-21,82
2020-03-22,85
2020-03-23,82
2020-03-24,87
2020-03-25,84
2020-03-26,81
2020-03-27,81
2020-03-28,87
2020-03-29,80
2020-03-30,76
2020-03-31,78
2020-04-01,77
2020-04-02,77
2020-04-03,78
2020-04-04,82
2020-04-05,77
2020-04-06,77
2020-04-07,80
2020-04-08,77
2020-04-09,77
2020-04-10,83
2020-04-11,85
2020-04-12,79
2020-04-13,80
2020-04-14,89
2020-04-15,98
2020-04-16,99
2020-04-17,100
2020-04-18,94
2020-04-19,88
2020-04-20,83
2020-04-21,86
2020-04-22,89
2020-04-23,87
2020-04-24,90
2020-04-25,92
2020-04-26,89
2020-04-27,86
2020-04-28,84
2020-04-29,89
2020-04-30,91
2020-05-01,92
2020-05-02,91
2020-05-03,92
2020-05-04,93
2020-05-05,94
2020-05-06,91
2020-05-07,90
2020-05-08,92
2020-05-09,95
2020-05-10,94
2020-05-11,92
2020-05-12,92
2020-05-13,91
2020-05-14,91
2020-05-15,91
2020-05-16,94
2020-05-17,93
2020-05-18,91
2020-05-19,94
2020-05-20,96
2020-05-21,95
2020-05-22,94
2020-05-23,99
2020-05-24,93
2020-05-25,90
2020-05-26,91
2020-05-27,94
